algoritmoLabel
delta encoding
Virtual Valve Amplifier
Wake-sleep algorithm
Water filling algorithm
weighted majority algorithm
Wu's method of characteristic set
XDAIS algorithms
Yamb
Yarowsky algorithm
Yen's algorithm
Zemor's decoding algorithm
TCP Vegas
rsync algorithm
DCLZ
edge-labelled directed tree
SCOUT
tessellation
Imperialist competitive algorithm
Intelligent Water Drops algorithm
Liu Hui's π algorithm
packrat parser
Levinson recursion
LZP
RODM
sequence calculation
Trémaux’ Methode
Italian fiscal code
Crout matrix decomposition
IPO underpricing algorithm
Inparanoid
Genetic algorithms in economics
OATH Challenge-Response Algorithm
Out-of-kilter algorithm
Petkovšek's algorithm
Devex algorithm
subgroup method
pairwise sorting network
Bayes classifier
Davidon–Fletcher–Powell formula
Block sort
Hunt–McIlroy algorithm
Floyd–Rivest algorithm
Datafly algorithm
SALSA algorithm
Quantum algorithm for linear systems of equations
Reversible-jump Markov chain Monte Carlo
Greiner-Hormann clipping algorithm
Newton's method in optimization
HCS clustering algorithm
Hybrid algorithm
HyperLogLog
Introselect
Itoh-Tsujii inversion algorithm
kernel perceptron
YDS algorithm
Minimum degree algorithm
Pocklington's algorithm
Raft
Kleene's algorithm
Loewy decomposition
Split-radix FFT algorithm
Tonelli–Shanks algorithm
PISO algorithm
Solution algorithms for pressure-velocity coupling in steady flows
Möller–Trumbore intersection algorithm
Teiresias algorithm
Platt scaling
Nested sampling algorithm
Weighted correlation network analysis
Atlantic City algorithm
Calibration of radiocarbon dates
Knuth's Simpath algorithm
Kleitman–Wang algorithms
curve shortening flow
t-Distributed Stochastic Neighbor Embedding
Kaprekar algorithm
Shuffled frog leaping algorithm
Misra & Gries edge coloring algorithm
Boyer-Moore Majority Vote Algorithm
Domain reduction algorithm
item-item collaborative filtering
Held–Karp algorithm
Filtered back projection
Deep Q-Network
Heron's method
Pollard-Strassen algorithm
Kronecker's method
Double Ratchet Algorithm
Flajolet–Martin algorithm
GloVe
RankBrain
Open Location Code
Algorithms and Data Structures
flower pollination algorithm
RCASE
Farthest-first traversal
Fast Algorithms for Multidimensional Signals
SIMPLEC algorithm
Rocha–Thatte cycle detection algorithm
Aladdin
Kunstweg
G Subscript C
Bernoulli's triangle
Debate algorithm
AIVA
Shapiro–Senapathy algorithm

Proof of Work
70 years or more after author(s) death
Meissel–Lehmer algorithm
TransE

Hub-labelling Algorithm
Harris Corner Detector
Teknomo–Fernandez algorithm
Multifidelity simulation
Putzer algorithm
Lifelong Planning A*
Uniform Manifold Approximation and Projection
parallel breadth-first search
computus
Brent algorithm
Multi-fragment algorithm
Bartels–Stewart algorithm
Gestalt Pattern Matching
Continuous High-resolution Image Reconstruction using Patch priors
Pan-Tompkins algorithm
Interpolation sort
DPLL(T)
Whitehead's algorithm
Evdokimov's algorithm
Gale–Shapley algorithm
Wigderson algorithm
P4ul&4rthur
Irish logarithms
Harvey–van der Hoeven algorithm
Wavefront expansion algorithm
Griffin-Lim signal estimation algorithm
baking
Sigaps
Csanky's algorithm
You Only Look Once
local custom for the time span between between birth and baptism
DeezyMatch
Visvalingam–Whyatt algorithm
Ofqual exam results algorithm
2Sum
The Library of Babel
Ramanujan Machine
screen space directional occlusion
circular projection
Erasure method
Bug algorithm
842
line count
α-ICON
count of subdirectories
Token-based replay
domain-ontology-based fuzzy-powered named-entity recognition matcher
Rudin–Osher–Fatemi model
Statistics-sensitive Non-linear Iterative Peak-clipping
Lentz's algorithm
Naimi-Trehel algorithm
Sieve of Pritchard
Inception score
text-to-image generation
Gauss separation algorithm
multi-tensor decomposition
Weisfeiler–Leman algorithm
Weak Stability Boundary
Colour refinement algorithm
Misra–Gries heavy hitters algorithm
local directional ternary pattern
local directional pattern
Atkinson dithering
MCR-AR
TACET
Marr–Hildreth algorithm
Bailey's FFT algorithm
crow search algorithm
Tendermint
Chambolle-Pock algorithm
slab method
Integrated Multi-Satellite Retrievals for GPM
Limited Error Raster Compression
Top-p sampling
Learned sparse retrieval
196-algorithm
Note G
Peter-Clark algorithm
GYO algorithm
additive noise model algorithm
Distributional Soft Actor Critic
DeepLab
DirectLiNGAM Algorithm
ICALiNGAM Algorithm
GES algorithm
PNL Algorithm
NOTEARS Algorithm
NOTEARS-MLP Algorithm
NOTEARS-SOB Algorithm
NOTEARS-lOW-RANK Algorithm
DAG-GNN Algorithm
GOLEM Algorithm
GraNDAG Algorithm
Probability Based Matching
Knuth–Plass line-breaking algorithm
PhenoAge
Whale Optimization Algorithm
Masked Gradient-Based Causal Structure Learning
graph autoencoder
Reinforcement Learning (Causal Discovery)
Causal discovery with Ordering-based Reinforcement Learning
Topological Hawkes Processes for Causal Structure Learning
Hybrid causal graph learning method
add-with-carry
Transplant Benefit Score
Korf's Algorithm
M.U.C. Love Letter Generator
SMOSAR
AlphaPose
neural forest
Chandrasekhar algorithm
Robinson's unification algorithm
charge/discharge optimization
Pledge algorithm
Simplification of Ratios
Pivot algorithm
Spectral test
Tseytin transformation
Johnson's algorithm
sweep line algorithm
synthesis algorithm
Super-seeding
EdgeRank
topology optimization
Unicode Line Breaking Algorithm
Viola–Jones object detection framework
Local binary patterns
Odlyzko–Schönhage algorithm
Warnock algorithm
method of the second derivative
Weiler–Atherton clipping algorithm
Wolff algorithm
Slow-start
Kosaraju's algorithm
Lenstra elliptic curve factorization
Q-learning
Linear classifier
AdaBoost
Clarke & Wright's savings algorithm
Cantor–Zassenhaus algorithm
Knuth–Bendix completion algorithm
Lloyd's algorithm
Remez algorithm
Schoof's algorithm
Wagner–Fischer algorithm
prime factorization algorithm
Block-matching algorithm
𝑛th root algorithm
Streaming algorithm
Top-nodes algorithm
Estimation of distribution algorithm
PSOLA
Broyden–Fletcher–Goldfarb–Shanno algorithm
Ziggurat algorithm
Rabin signature algorithm
maze generation algorithm
Random naive Bayes
Kahan summation algorithm
divided differences
Hashlife
Cholesky decomposition
Features from Accelerated Segment Test
Gran plot
column generation
chaos game
connected-component labeling
SSS*
Artificial bee colony algorithm
BLEU
second derivative test
Ada Lovelace’ algorithm for computing Bernoulli numbers
midpoint circle algorithm
shoelace formula
intercept method
arbitrary slice ordering
MNOD
multiple signal classification
FNAm2
HMAC-based One-time Password Algorithm
LL(1)
LR(0)
MOSQUITO
SFLASH
Bentley–Ottmann algorithm
Verhoeff algorithm
Gilbert–Johnson–Keerthi distance algorithm
Lubachevsky–Stillinger algorithm
belief propagation
Google Panda
Lagrange method
3-opt
ALOPEX
Adaptive-additive algorithm
Addition-chain exponentiation
Adleman–Pomerance–Rumely primality test
Algebraic-group factorisation algorithm
Alpha algorithm
Alpha max plus beta min algorithm
Approximate counting algorithm
artificial bee colony algorithm
Astronomical algorithm
Auction algorithm
BHHH algorithm
BRST algorithm
Bach's algorithm
Backfitting algorithm
Backpressure routing
backtracking line search
